id,template_id,day_number,task_title,task_description,task_type,sort_order,is_active,is_deleted,created_at,updated_at,created_by,updated_by
dd7d07ef-ae08-42e0-bbbe-eff985b76d43,e81d77a0-0002-4c12-a167-9bf461d3fa02,13,Day 13 Topic: Lenz's Law & Self/Mutual Induction,Today's MCQ test will be based on the topic 'Lenz's Law & Self/Mutual Induction'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
b1ce3f5f-32eb-4cff-bcd1-787894614464,e81d77a0-0002-4c12-a167-9bf461d3fa02,14,Day 14 Topic: Alternating Current (AC) Circuits & Resonance,Today's MCQ test will be based on the topic 'Alternating Current (AC) Circuits & Resonance'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
eb4c3ac4-aa17-41bb-a51e-15b89f8e0079,e81d77a0-0002-4c12-a167-9bf461d3fa02,15,Day 15 Topic: LCR Circuits & Power Factor,Today's MCQ test will be based on the topic 'LCR Circuits & Power Factor'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
a21e74ea-11a7-44c0-b841-88d2b99722a9,e81d77a0-0002-4c12-a167-9bf461d3fa02,16,Day 16 Topic: Electromagnetic Waves & EM Spectrum,Today's MCQ test will be based on the topic 'Electromagnetic Waves & EM Spectrum'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
f0240abe-afa4-412d-9e06-7e1feb5b11a2,e81d77a0-0002-4c12-a167-9bf461d3fa02,17,"Day 17 Topic: Reflection, Refraction & Lenses","Today's MCQ test will be based on the topic 'Reflection, Refraction & Lenses'. Please study this topic in detail from your NCERT book and classroom notes.",read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
3f52b4b3-d9fa-4975-a068-d731abc5f10a,e81d77a0-0002-4c12-a167-9bf461d3fa02,18,Day 18 Topic: Wave Optics (Interference & Diffraction),Today's MCQ test will be based on the topic 'Wave Optics (Interference & Diffraction)'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
b0867afc-d246-4075-b9b1-5a1f267ec12c,e81d77a0-0002-4c12-a167-9bf461d3fa02,19,Day 19 Topic: Photoelectric Effect & Dual Nature of Matter,Today's MCQ test will be based on the topic 'Photoelectric Effect & Dual Nature of Matter'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
057635d8-d2f7-48fd-8d1e-34bd6ecaf5b7,e81d77a0-0002-4c12-a167-9bf461d3fa02,20,Day 20 Topic: Bohr's Model of Atom & Semiconductor Electronics,Today's MCQ test will be based on the topic 'Bohr's Model of Atom & Semiconductor Electronics'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
ff8bee48-01dc-4a1d-a8a6-9bc401c8bca6,e81d77a0-0003-4c12-a167-9bf461d3fa03,1,Day 1 Topic: Mole Concept & Empirical Formula,Today's MCQ test will be based on the topic 'Mole Concept & Empirical Formula'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
fbb31638-1be4-4a16-bf64-8aaac2701472,e81d77a0-0003-4c12-a167-9bf461d3fa03,2,Day 2 Topic: Stoichiometry & Concentration Terms,Today's MCQ test will be based on the topic 'Stoichiometry & Concentration Terms'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
103263d8-0ddf-47cb-a493-c93d0b3dbcd0,e81d77a0-0003-4c12-a167-9bf461d3fa03,3,Day 3 Topic: Bohr's Atomic Model & Quantum Numbers,Today's MCQ test will be based on the topic 'Bohr's Atomic Model & Quantum Numbers'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
a78090bc-027a-4637-bb69-43fd5de631f9,e81d77a0-0003-4c12-a167-9bf461d3fa03,4,Day 4 Topic: Electronic Configuration & Pauli's Principle,Today's MCQ test will be based on the topic 'Electronic Configuration & Pauli's Principle'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
892d92f6-68b0-4c5d-b642-bdd20ad7f1ac,e81d77a0-0003-4c12-a167-9bf461d3fa03,5,Day 5 Topic: Periodic Table & Periodic Trends,Today's MCQ test will be based on the topic 'Periodic Table & Periodic Trends'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
cef31121-172c-4b61-846d-fe1fd79b4f91,e81d77a0-0003-4c12-a167-9bf461d3fa03,6,Day 6 Topic: Ionic & Covalent Bonding,Today's MCQ test will be based on the topic 'Ionic & Covalent Bonding'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
101bb8f8-89de-4d76-bd2d-03bb50c7e439,e81d77a0-0003-4c12-a167-9bf461d3fa03,7,Day 7 Topic: VSEPR Theory & Hybridization,Today's MCQ test will be based on the topic 'VSEPR Theory & Hybridization'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
ac45245b-d4a0-4f49-9575-33a630ac1261,e81d77a0-0003-4c12-a167-9bf461d3fa03,8,Day 8 Topic: Molecular Orbital Theory & Hydrogen Bonding,Today's MCQ test will be based on the topic 'Molecular Orbital Theory & Hydrogen Bonding'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
8091d7d8-e956-495d-9407-5b46a8aaffc7,e81d77a0-0003-4c12-a167-9bf461d3fa03,9,Day 9 Topic: Ideal Gas Laws & Dalton's Law,Today's MCQ test will be based on the topic 'Ideal Gas Laws & Dalton's Law'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
a826f989-a271-4d3a-9141-8e1d4de52e0e,e81d77a0-0003-4c12-a167-9bf461d3fa03,10,Day 10 Topic: First Law of Thermodynamics & Enthalpy,Today's MCQ test will be based on the topic 'First Law of Thermodynamics & Enthalpy'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
ee901dd0-116b-49fb-b398-ab777c390ef3,e81d77a0-0003-4c12-a167-9bf461d3fa03,11,Day 11 Topic: Entropy & Gibbs Free Energy,Today's MCQ test will be based on the topic 'Entropy & Gibbs Free Energy'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
b6a70d5f-266a-4405-9d1c-d035576735f8,e81d77a0-0003-4c12-a167-9bf461d3fa03,12,Day 12 Topic: Law of Mass Action & Equilibrium Constant,Today's MCQ test will be based on the topic 'Law of Mass Action & Equilibrium Constant'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
43617d1f-c999-46c2-8bf5-32817bb3a69e,e81d77a0-0003-4c12-a167-9bf461d3fa03,13,Day 13 Topic: Le Chatelier's Principle,Today's MCQ test will be based on the topic 'Le Chatelier's Principle'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
368aa34b-fb06-478d-a7df-a7066b1da9ba,e81d77a0-0003-4c12-a167-9bf461d3fa03,14,Day 14 Topic: pH Scale & Buffer Solutions,Today's MCQ test will be based on the topic 'pH Scale & Buffer Solutions'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
4be8f47c-6ed2-4168-8b4f-6e705de5abe7,e81d77a0-0003-4c12-a167-9bf461d3fa03,15,Day 15 Topic: Solubility Product & Salt Hydrolysis,Today's MCQ test will be based on the topic 'Solubility Product & Salt Hydrolysis'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
3eb35694-7912-4d33-a5f4-42dfc011404e,e81d77a0-0003-4c12-a167-9bf461d3fa03,16,Day 16 Topic: Oxidation & Reduction (Redox Reactions),Today's MCQ test will be based on the topic 'Oxidation & Reduction (Redox Reactions)'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
c3a4b7e1-bb9c-42b2-9abf-337068bcf13c,e81d77a0-0003-4c12-a167-9bf461d3fa03,17,Day 17 Topic: Balancing Redox Reactions,Today's MCQ test will be based on the topic 'Balancing Redox Reactions'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
2ba6888b-5ddf-4b95-96f8-6b41c7080616,e81d77a0-0003-4c12-a167-9bf461d3fa03,18,Day 18 Topic: Nomenclature of Organic Compounds (IUPAC),Today's MCQ test will be based on the topic 'Nomenclature of Organic Compounds (IUPAC)'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
9ff2fd3a-a7ae-4aaa-a609-4674d358c9a0,e81d77a0-0003-4c12-a167-9bf461d3fa03,19,Day 19 Topic: Isomerism in Organic Chemistry,Today's MCQ test will be based on the topic 'Isomerism in Organic Chemistry'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
527c40f0-b40d-436d-8102-be9c6bfeb8a2,e81d77a0-0003-4c12-a167-9bf461d3fa03,20,Day 20 Topic: Inductive Effect & Resonance,Today's MCQ test will be based on the topic 'Inductive Effect & Resonance'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
2bcdf297-9e9f-4566-a9b4-7cd8970aef86,e81d77a0-0004-4c12-a167-9bf461d3fa04,1,Day 1 Topic: Solid State,Today's MCQ test will be based on the topic 'Solid State'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
ef7eb7fe-a459-453a-84f8-f0f09f1593cf,e81d77a0-0004-4c12-a167-9bf461d3fa04,2,Day 2 Topic: Solutions & Vapor pressure,Today's MCQ test will be based on the topic 'Solutions & Vapor pressure'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
8984bb27-cb9d-45b0-9dce-7c8c3cf0f421,e81d77a0-0004-4c12-a167-9bf461d3fa04,3,Day 3 Topic: Colligative Properties,Today's MCQ test will be based on the topic 'Colligative Properties'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
63c359c5-0404-48ac-827c-bd570e8d9ad9,e81d77a0-0004-4c12-a167-9bf461d3fa04,4,Day 4 Topic: Electrochemistry & Nernst equation,Today's MCQ test will be based on the topic 'Electrochemistry & Nernst equation'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
a33d9b9e-4d42-4a88-aa89-7ca18e3ac737,e81d77a0-0004-4c12-a167-9bf461d3fa04,5,Day 5 Topic: Faraday's Laws & Electrolytic conductance,Today's MCQ test will be based on the topic 'Faraday's Laws & Electrolytic conductance'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
2998300c-b769-4eb0-8dac-c5e5754ba0c1,e81d77a0-0004-4c12-a167-9bf461d3fa04,6,Day 6 Topic: Chemical Kinetics & Order of reaction,Today's MCQ test will be based on the topic 'Chemical Kinetics & Order of reaction'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
64e8b29f-23fb-45fc-b92d-d88a9d2ed228,e81d77a0-0004-4c12-a167-9bf461d3fa04,7,Day 7 Topic: Arrhenius Equation & Activation Energy,Today's MCQ test will be based on the topic 'Arrhenius Equation & Activation Energy'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
343416d4-df8a-4a13-ba49-1e56dce57644,e81d77a0-0004-4c12-a167-9bf461d3fa04,8,Day 8 Topic: Surface Chemistry,Today's MCQ test will be based on the topic 'Surface Chemistry'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
c08e5f64-2c2f-437c-ab10-f0c352657311,e81d77a0-0004-4c12-a167-9bf461d3fa04,9,Day 9 Topic: Principles of Metallurgy,Today's MCQ test will be based on the topic 'Principles of Metallurgy'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
12971e43-fedc-49c2-9eec-a6eeb02554a9,e81d77a0-0004-4c12-a167-9bf461d3fa04,10,Day 10 Topic: p-Block Elements,Today's MCQ test will be based on the topic 'p-Block Elements'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
e92840fa-ac84-4a9d-a6aa-956b3b651c1e,e81d77a0-0004-4c12-a167-9bf461d3fa04,11,Day 11 Topic: Transition Elements (d & f block),Today's MCQ test will be based on the topic 'Transition Elements (d & f block)'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
104de67a-9c9c-4df1-a0c2-06f1aae34cc7,e81d77a0-0004-4c12-a167-9bf461d3fa04,12,Day 12 Topic: Coordination Compounds,Today's MCQ test will be based on the topic 'Coordination Compounds'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
0212a15e-316d-4aa7-96cf-f543cf35f9a7,e81d77a0-0004-4c12-a167-9bf461d3fa04,13,Day 13 Topic: Valence Bond & Crystal Field Theory,Today's MCQ test will be based on the topic 'Valence Bond & Crystal Field Theory'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
a23ab440-f50b-4a3d-969c-701437f7bfab,e81d77a0-0004-4c12-a167-9bf461d3fa04,14,Day 14 Topic: Haloalkanes & Haloarenes,Today's MCQ test will be based on the topic 'Haloalkanes & Haloarenes'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
65521cbe-d796-4b27-8378-98370b5d0c76,e81d77a0-0004-4c12-a167-9bf461d3fa04,15,"Day 15 Topic: Alcohols, Phenols & Ethers","Today's MCQ test will be based on the topic 'Alcohols, Phenols & Ethers'. Please study this topic in detail from your NCERT book and classroom notes.",read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
e2d96d70-1a03-4ec8-ad0a-50d180f64e0d,e81d77a0-0004-4c12-a167-9bf461d3fa04,16,Day 16 Topic: Aldehydes & Ketones,Today's MCQ test will be based on the topic 'Aldehydes & Ketones'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
5dc2b477-cd0a-4952-9348-1b19b251163f,e81d77a0-0004-4c12-a167-9bf461d3fa04,17,Day 17 Topic: Carboxylic Acids & Amines,Today's MCQ test will be based on the topic 'Carboxylic Acids & Amines'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
